Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count	stress_pattern
revolutionaries	35	27	34	26	0.69	1.5563	0.32	1.4472	6.0	201020
deterioration	26	26	26	26	0.51	1.4314	0.31	1.4314	6.0	010020
electronically	37	26	32	21	0.73	1.5798	0.31	1.4314	6.0	021000
disorientation	29	25	24	21	0.57	1.4771	0.3	1.415	6.0	020010
Czechoslovakia	38	24	0	0	0.75	1.5911	0.29	1.3979	6.0	200100
deniability	29	24	28	23	0.57	1.4771	0.29	1.3979	6.0	020100
extraterrestrials	34	24	30	22	0.67	1.5441	0.29	1.3979	6.0	202100
archaeological	48	23	39	19	0.94	1.6902	0.27	1.3802	6.0	200100
Congeniality	25	23	3	3	0.49	1.415	0.27	1.3802	6.0	020100
conversationalist	23	23	23	23	0.45	1.3802	0.27	1.3802	6.0	201000
sentimentality	24	23	22	21	0.47	1.3979	0.27	1.3802	6.0	200100
materialistic	23	22	21	20	0.45	1.3802	0.26	1.3617	6.0	020010
unappreciated	24	22	23	21	0.47	1.3979	0.26	1.3617	6.0	201020
evidentiary	23	21	22	20	0.45	1.3802	0.25	1.3424	6.0	201000
overestimated	21	21	21	21	0.41	1.3424	0.25	1.3424	6.0	201020
cinematography	22	20	11	10	0.43	1.3617	0.24	1.3222	6.0	200100
invisibility	34	20	31	17	0.67	1.5441	0.24	1.3222	6.0	020100
unadulterated	20	20	18	18	0.39	1.3222	0.24	1.3222	6.0	201020
compatibility	23	19	22	18	0.45	1.3802	0.23	1.301	6.0	020100
deteriorated	19	19	19	19	0.37	1.301	0.23	1.301	6.0	010020
inappropriately	19	19	19	19	0.37	1.301	0.23	1.301	6.0	001000
incontrovertible	20	19	20	19	0.39	1.3222	0.23	1.301	6.0	020100
materialism	20	19	20	19	0.39	1.3222	0.23	1.301	6.0	010020
unconditionally	20	19	18	17	0.39	1.3222	0.23	1.301	6.0	201000
Episcopalian	21	18	0	0	0.41	1.3424	0.21	1.2788	6.0	020100
psychoanalysis	25	18	21	18	0.49	1.415	0.21	1.2788	6.0	200100
technologically	19	18	14	13	0.37	1.301	0.21	1.2788	6.0	201000
unintentionally	20	18	18	17	0.39	1.3222	0.21	1.2788	6.0	201000
accountability	24	17	20	17	0.47	1.3979	0.2	1.2553	6.0	010000
anthropological	26	17	18	15	0.51	1.4314	0.2	1.2553	6.0	200100
cardiovascular	17	17	12	12	0.33	1.2553	0.2	1.2553	6.0	200100
counterintelligence	19	17	16	14	0.37	1.301	0.2	1.2553	6.0	200100
organizational	18	17	15	14	0.35	1.2788	0.2	1.2553	6.0	200100
paramilitary	20	17	17	16	0.39	1.3222	0.2	1.2553	6.0	201020
unintelligible	25	17	24	16	0.49	1.415	0.2	1.2553	6.0	201000
decontamination	24	16	22	15	0.47	1.3979	0.19	1.2304	6.0	002010
disqualification	18	16	18	16	0.35	1.2788	0.19	1.2304	6.0	020010
encyclopedias	19	16	19	16	0.37	1.301	0.19	1.2304	6.0	020100
environmentally	16	16	16	16	0.31	1.2304	0.19	1.2304	6.0	020100
excommunicated	19	16	18	15	0.37	1.301	0.19	1.2304	6.0	201020
hallucinogenic	17	16	17	16	0.33	1.2553	0.19	1.2304	6.0	020010
irregularities	19	16	19	16	0.37	1.301	0.19	1.2304	6.0	000100
irregularity	20	16	19	15	0.39	1.3222	0.19	1.2304	6.0	020100
physiologically	17	16	14	14	0.33	1.2553	0.19	1.2304	6.0	200100
unconstitutional	16	16	16	16	0.31	1.2304	0.19	1.2304	6.0	220100
unequivocally	16	16	15	15	0.31	1.2304	0.19	1.2304	6.0	201000
uninhabitable	16	16	15	15	0.31	1.2304	0.19	1.2304	6.0	201000
unsubstantiated	16	16	15	15	0.31	1.2304	0.19	1.2304	6.0	201020
beneficiaries	17	15	17	15	0.33	1.2553	0.18	1.2041	6.0	201020
identifiable	15	15	15	15	0.29	1.2041	0.18	1.2041	6.0	010200
intermediary	17	15	17	15	0.33	1.2553	0.18	1.2041	6.0	201000
megalomaniac	16	15	15	14	0.31	1.2304	0.18	1.2041	6.0	200102
miscommunication	15	15	15	15	0.29	1.2041	0.18	1.2041	6.0	002010
reliability	16	15	13	12	0.31	1.2304	0.18	1.2041	6.0	020100
reorganization	18	15	15	14	0.35	1.2788	0.18	1.2041	6.0	200010
semiautomatic	21	15	21	15	0.41	1.3424	0.18	1.2041	6.0	202010
unsatisfactory	18	15	16	13	0.35	1.2788	0.18	1.2041	6.0	200100
unsophisticated	15	15	15	15	0.29	1.2041	0.18	1.2041	6.0	201020
archeological	15	14	14	13	0.29	1.2041	0.17	1.1761	6.0	200100
aromatherapy	16	14	12	11	0.31	1.2304	0.17	1.1761	6.0	020100
environmentalists	15	14	15	14	0.29	1.2041	0.17	1.1761	6.0	010200
indiscriminately	14	14	14	14	0.27	1.1761	0.17	1.1761	6.0	201000
interplanetary	14	14	13	13	0.27	1.1761	0.17	1.1761	6.0	201020
involuntarily	17	14	16	13	0.33	1.2553	0.17	1.1761	6.0	201020
paleontology	21	14	17	13	0.41	1.3424	0.17	1.1761	6.0	200100
unilaterally	15	14	15	14	0.29	1.2041	0.17	1.1761	6.0	201000
unimaginative	15	14	15	14	0.29	1.2041	0.17	1.1761	6.0	001200
unrecognizable	14	14	13	13	0.27	1.1761	0.17	1.1761	6.0	020100
expeditionary	15	13	8	8	0.29	1.2041	0.15	1.1461	6.0	201020
geographically	13	13	12	12	0.25	1.1461	0.15	1.1461	6.0	201000
indistinguishable	14	13	13	12	0.27	1.1761	0.15	1.1461	6.0	001000
instantaneously	13	13	12	12	0.25	1.1461	0.15	1.1461	6.0	201000
mathematically	15	13	12	10	0.29	1.2041	0.15	1.1461	6.0	201000
overestimating	13	13	13	13	0.25	1.1461	0.15	1.1461	6.0	201020
rationalization	15	13	14	12	0.29	1.2041	0.15	1.1461	6.0	200010
sociological	14	13	14	13	0.27	1.1761	0.15	1.1461	6.0	200100
Undersecretary	22	13	6	5	0.43	1.3617	0.15	1.1461	6.0	201020
colonialism	17	12	17	12	0.33	1.2553	0.14	1.1139	6.0	010020
Czechoslovakian	17	12	0	0	0.33	1.2553	0.14	1.1139	6.0	200100
eligibility	13	12	12	12	0.25	1.1461	0.14	1.1139	6.0	200100
enthusiastically	12	12	10	10	0.24	1.1139	0.14	1.1139	6.0	020100
idiosyncrasies	12	12	12	12	0.24	1.1139	0.14	1.1139	6.0	000102
infinitesimal	14	12	14	12	0.27	1.1761	0.14	1.1139	6.0	200100
insensitivity	14	12	14	12	0.27	1.1761	0.14	1.1139	6.0	020100
Machiavellian	12	12	0	0	0.24	1.1139	0.14	1.1139	6.0	200100
paleontologist	17	12	16	11	0.33	1.2553	0.14	1.1139	6.0	200100
personification	13	12	13	12	0.25	1.1461	0.14	1.1139	6.0	020010
cinematographer	17	11	17	11	0.33	1.2553	0.13	1.0792	6.0	200100
environmentalist	13	11	12	10	0.25	1.1461	0.13	1.0792	6.0	020100
excruciatingly	11	11	10	10	0.22	1.0792	0.13	1.0792	6.0	210200
incommunicado	12	11	11	10	0.24	1.1139	0.13	1.0792	6.0	202010
peculiarities	14	11	11	10	0.27	1.1761	0.13	1.0792	6.0	020100
antibacterial	17	10	14	9	0.33	1.2553	0.12	1.0414	6.0	200100
biodegradable	10	10	8	8	0.2	1.0414	0.12	1.0414	6.0	200100
constitutionally	10	10	10	10	0.2	1.0414	0.12	1.0414	6.0	201000
Generalissimo	17	10	4	4	0.33	1.2553	0.12	1.0414	6.0	200102
idiosyncrasy	10	10	10	10	0.2	1.0414	0.12	1.0414	6.0	000102
imperialism	11	10	11	10	0.22	1.0792	0.12	1.0414	6.0	010020
irritability	11	10	9	8	0.22	1.0792	0.12	1.0414	6.0	000100
oversimplifying	14	10	13	10	0.27	1.1761	0.12	1.0414	6.0	001020
reunification	13	10	11	10	0.25	1.1461	0.12	1.0414	6.0	020010
stereotypical	10	10	9	9	0.2	1.0414	0.12	1.0414	6.0	200100
disciplinarian	10	9	10	9	0.2	1.0414	0.11	1.0	6.0	200100
entrepreneurial	9	9	9	9	0.18	1.0	0.11	1.0	6.0	200100
eventuality	9	9	9	9	0.18	1.0	0.11	1.0	6.0	020100
gastrointestinal	9	9	7	7	0.18	1.0	0.11	1.0	6.0	200100
hospitalization	9	9	9	9	0.18	1.0	0.11	1.0	6.0	200010
meteorologist	11	9	10	8	0.22	1.0792	0.11	1.0	6.0	200100
municipality	10	9	8	8	0.2	1.0414	0.11	1.0	6.0	200100
Naturalization	13	9	5	4	0.25	1.1461	0.11	1.0	6.0	100010
osteoporosis	9	9	6	6	0.18	1.0	0.11	1.0	6.0	202010
profitability	9	9	7	7	0.18	1.0	0.11	1.0	6.0	200100
discriminatory	8	8	8	8	0.16	0.9542	0.1	0.9542	6.0	010020
ecclesiastical	11	8	10	7	0.22	1.0792	0.1	0.9542	6.0	020100
encyclopaedia	8	8	6	6	0.16	0.9542	0.1	0.9542	6.0	020100
heterosexuals	9	8	8	7	0.18	1.0	0.1	0.9542	6.0	200100
Indianapolis	9	8	0	0	0.18	1.0	0.1	0.9542	6.0	200100
microbiology	9	8	7	6	0.18	1.0	0.1	0.9542	6.0	202100
reevaluated	8	8	8	8	0.16	0.9542	0.1	0.9542	6.0	001020
totalitarian	8	8	7	7	0.16	0.9542	0.1	0.9542	6.0	220100
adaptability	7	7	6	6	0.14	0.9031	0.08	0.9031	6.0	020100
agoraphobia	7	7	5	5	0.14	0.9031	0.08	0.9031	6.0	020100
Audiovisual	11	7	5	4	0.22	1.0792	0.08	0.9031	6.0	200100
capitalization	11	7	10	7	0.22	1.0792	0.08	0.9031	6.0	200010
generalization	9	7	9	7	0.18	1.0	0.08	0.9031	6.0	200010
geopolitical	8	7	8	7	0.16	0.9542	0.08	0.9031	6.0	200100
ideological	7	7	7	7	0.14	0.9031	0.08	0.9031	6.0	200100
imperialistic	7	7	7	7	0.14	0.9031	0.08	0.9031	6.0	020010
infallibility	8	7	8	7	0.16	0.9542	0.08	0.9031	6.0	020100
Mesopotamia	8	7	0	0	0.16	0.9542	0.08	0.9031	6.0	200100
overpopulated	7	7	6	6	0.14	0.9031	0.08	0.9031	6.0	201000
philosophically	10	7	7	6	0.2	1.0414	0.08	0.9031	6.0	201000
sensationalism	7	7	7	7	0.14	0.9031	0.08	0.9031	6.0	010020
utilitarian	10	7	10	7	0.2	1.0414	0.08	0.9031	6.0	020100
appreciatively	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	010200
biotechnology	8	6	4	3	0.16	0.9542	0.07	0.8451	6.0	202100
characterization	7	6	6	5	0.14	0.9031	0.07	0.8451	6.0	200010
decontaminated	6	6	5	5	0.12	0.8451	0.07	0.8451	6.0	001020
disassociated	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	201000
disorganization	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	020010
disproportionately	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	201000
encephalopathy	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	020100
excommunication	7	6	7	6	0.14	0.9031	0.07	0.8451	6.0	202010
hallucinatory	7	6	7	6	0.14	0.9031	0.07	0.8451	6.0	010020
hypoglycemia	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	200100
idiosyncratic	8	6	8	6	0.16	0.9542	0.07	0.8451	6.0	000010
impartiality	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	020100
intercontinental	6	6	6	6	0.12	0.8451	0.07	0.8451	6.0	202010
irreconcilable	6	6	5	5	0.12	0.8451	0.07	0.8451	6.0	010200
microorganism	7	6	7	6	0.14	0.9031	0.07	0.8451	6.0	201020
renegotiating	7	6	7	6	0.14	0.9031	0.07	0.8451	6.0	201020
uncoordinated	7	6	7	6	0.14	0.9031	0.07	0.8451	6.0	001000
verisimilitude	8	6	6	4	0.16	0.9542	0.07	0.8451	6.0	200102
anticipatory	6	5	5	5	0.12	0.8451	0.06	0.7782	6.0	010020
congratulatory	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	010020
conspiratorial	6	5	5	5	0.12	0.8451	0.06	0.7782	6.0	020100
counterespionage	8	5	7	4	0.16	0.9542	0.06	0.7782	6.0	201000
desirability	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	020100
differentiated	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	201020
differentiating	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	201020
diversification	7	5	7	5	0.14	0.9031	0.06	0.7782	6.0	020010
humanitarians	6	5	6	5	0.12	0.8451	0.06	0.7782	6.0	220100
invincibility	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	020100
megalomania	5	5	4	4	0.1	0.7782	0.06	0.7782	6.0	200100
meteorology	6	5	6	5	0.12	0.8451	0.06	0.7782	6.0	200100
octogenarian	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	200100
paleontologists	6	5	4	3	0.12	0.8451	0.06	0.7782	6.0	200100
peculiarity	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	020100
prestidigitation	7	5	6	5	0.14	0.9031	0.06	0.7782	6.0	200010
reevaluation	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	002010
renegotiation	6	5	5	4	0.12	0.8451	0.06	0.7782	6.0	202010
susceptibility	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	020100
unceremonious	6	5	5	4	0.12	0.8451	0.06	0.7782	6.0	220100
uncharacteristic	5	5	5	5	0.1	0.7782	0.06	0.7782	6.0	220010
acetaminophen	5	4	4	3	0.1	0.7782	0.05	0.699	6.0	020100
Americanism	5	4	0	0	0.1	0.7782	0.05	0.699	6.0	010020
Aristotelian	4	4	0	0	0.08	0.699	0.05	0.699	6.0	020100
believability	4	4	4	4	0.08	0.699	0.05	0.699	6.0	020100
dehumanization	5	4	4	3	0.1	0.7782	0.05	0.699	6.0	220010
dependability	4	4	4	4	0.08	0.699	0.05	0.699	6.0	020100
differentiation	4	4	4	4	0.08	0.699	0.05	0.699	6.0	002010
editorialize	4	4	4	4	0.08	0.699	0.05	0.699	6.0	201002
egalitarian	4	4	3	3	0.08	0.699	0.05	0.699	6.0	020100
emotionalism	4	4	4	4	0.08	0.699	0.05	0.699	6.0	010020
experimentally	4	4	4	4	0.08	0.699	0.05	0.699	6.0	000100
Hyperactivity	5	4	2	2	0.1	0.7782	0.05	0.699	6.0	200100
ideologically	4	4	4	4	0.08	0.699	0.05	0.699	6.0	200100
indefatigable	4	4	4	4	0.08	0.699	0.05	0.699	6.0	201000
individualists	5	4	3	3	0.1	0.7782	0.05	0.699	6.0	201000
misappropriated	4	4	4	4	0.08	0.699	0.05	0.699	6.0	201020
misinterpretation	4	4	2	2	0.08	0.699	0.05	0.699	6.0	002010
misrepresentation	4	4	4	4	0.08	0.699	0.05	0.699	6.0	020010
predictability	5	4	3	3	0.1	0.7782	0.05	0.699	6.0	020100
prosecutorial	4	4	3	3	0.08	0.699	0.05	0.699	6.0	200100
radiological	6	4	3	3	0.12	0.8451	0.05	0.699	6.0	200100
rationalizations	4	4	4	4	0.08	0.699	0.05	0.699	6.0	200010
reconfiguration	5	4	5	4	0.1	0.7782	0.05	0.699	6.0	002010
reconsideration	4	4	4	4	0.08	0.699	0.05	0.699	6.0	002010
reevaluating	4	4	4	4	0.08	0.699	0.05	0.699	6.0	001020
renegotiated	4	4	4	4	0.08	0.699	0.05	0.699	6.0	201020
salutatorian	4	4	3	3	0.08	0.699	0.05	0.699	6.0	020100
unanticipated	5	4	3	3	0.1	0.7782	0.05	0.699	6.0	201020
unapologetic	4	4	4	4	0.08	0.699	0.05	0.699	6.0	202010
uncorroborated	4	4	4	4	0.08	0.699	0.05	0.699	6.0	201000
admissibility	4	3	4	3	0.08	0.699	0.04	0.6021	6.0	020100
aerodynamically	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	200100
architecturally	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201000
authoritarian	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	020100
bioengineering	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	202010
characteristically	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	200100
counterinsurgency	3	3	2	2	0.06	0.6021	0.04	0.6021	6.0	200100
dermatological	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	200100
developmentally	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	020100
discombobulated	4	3	3	3	0.08	0.699	0.04	0.6021	6.0	201000
electrochemical	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	020100
electrophoresis	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	000020
Endocrinology	4	3	1	1	0.08	0.699	0.04	0.6021	6.0	200100
hospitalizations	4	3	4	3	0.08	0.699	0.04	0.6021	6.0	200010
identifications	3	3	2	2	0.06	0.6021	0.04	0.6021	6.0	020010
improvisational	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	200100
individualized	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201000
intelligentsia	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	020100
interrogatories	4	3	4	3	0.08	0.699	0.04	0.6021	6.0	001020
interrogatory	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	001020
isolationism	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201020
kinesiology	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	202100
lymphadenopathy	3	3	2	2	0.06	0.6021	0.04	0.6021	6.0	201020
marketability	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	200100
materializes	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	010020
materializing	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	010020
microorganisms	6	3	6	3	0.12	0.8451	0.04	0.6021	6.0	201020
ornithological	3	3	2	2	0.06	0.6021	0.04	0.6021	6.0	200100
preliminarily	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	020100
pseudoscientific	4	3	4	3	0.08	0.699	0.04	0.6021	6.0	202010
psychoanalytic	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	202010
reinvigorated	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201020
revolutionizing	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201020
survivability	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	020100
sympathetically	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201000
ultranationalist	4	3	3	3	0.08	0.699	0.04	0.6021	6.0	201000
uncontaminated	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	201020
unhesitatingly	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	010200
vulnerabilities	3	3	3	3	0.06	0.6021	0.04	0.6021	6.0	200100
accessibility	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
agriculturalist	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201000
ambassadorial	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	020100
amniocentesis	3	2	2	2	0.06	0.6021	0.02	0.4771	6.0	200210
applicability	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
autobiographies	3	2	3	2	0.06	0.6021	0.02	0.4771	6.0	200100
biodiversity	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
bisexuality	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
commercialization	4	2	4	2	0.08	0.699	0.02	0.4771	6.0	020010
conciliatory	3	2	3	2	0.06	0.6021	0.02	0.4771	6.0	012020
counterrevolution	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200010
desalinization	3	2	2	1	0.06	0.6021	0.02	0.4771	6.0	020010
editorially	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201000
educationally	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201000
endocrinologist	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
Episcopalians	2	2	0	0	0.04	0.4771	0.02	0.4771	6.0	020100
fundamentalism	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201020
generalizations	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200010
gubernatorial	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	000100
hippopotamuses	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201000
illegitimacy	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201000
incapacitating	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	001020
indemnification	3	2	3	2	0.06	0.6021	0.02	0.4771	6.0	020010
individualist	2	2	1	1	0.04	0.4771	0.02	0.4771	6.0	200100
individualize	4	2	2	2	0.08	0.699	0.02	0.4771	6.0	201000
intermediaries	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201020
internationalist	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	001000
interrelationship	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	100100
materiality	4	2	4	2	0.08	0.699	0.02	0.4771	6.0	020100
Mesopotamian	2	2	0	0	0.04	0.4771	0.02	0.4771	6.0	200100
meteorologists	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
microeconomic	4	2	4	2	0.08	0.699	0.02	0.4771	6.0	202010
microeconomics	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	202010
microelectronic	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200010
misappropriation	2	2	1	1	0.04	0.4771	0.02	0.4771	6.0	202010
nationalization	2	2	1	1	0.04	0.4771	0.02	0.4771	6.0	200010
nonproliferation	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	002010
parenthetically	2	2	1	1	0.04	0.4771	0.02	0.4771	6.0	001000
pharmacological	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
rehabilitating	3	2	3	2	0.06	0.6021	0.02	0.4771	6.0	201020
religiosity	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	020100
representational	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
saponification	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	020010
sensationalizing	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	020010
sustainability	3	2	3	2	0.06	0.6021	0.02	0.4771	6.0	020100
therapeutically	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	201000
toxicological	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	200100
unaffiliated	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	001020
unalienable	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	010000
Unenthusiastic	2	2	0	0	0.04	0.4771	0.02	0.4771	6.0	000010
unjustifiably	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	220100
unpopularity	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	020100
variability	2	2	2	2	0.04	0.4771	0.02	0.4771	6.0	000100
abolitionism	1	1	1	1	0.02	0.301	0.01	0.301	6.0	201020
affordability	1	1	1	1	0.02	0.301	0.01	0.301	6.0	020100
ameliorated	1	1	1	1	0.02	0.301	0.01	0.301	6.0	010020
amiability	1	1	1	1	0.02	0.301	0.01	0.301	6.0	200100
articulatory	1	1	1	1	0.02	0.301	0.01	0.301	6.0	010020
australopithecine	2	1	2	1	0.04	0.4771	0.01	0.301	6.0	020102
Authoritatively	1	1	0	0	0.02	0.301	0.01	0.301	6.0	020100
autobiographer	1	1	1	1	0.02	0.301	0.01	0.301	6.0	200100
Categorization	1	1	0	0	0.02	0.301	0.01	0.301	6.0	200010
characterizations	1	1	1	1	0.02	0.301	0.01	0.301	6.0	200010
coeducational	2	1	1	1	0.04	0.4771	0.01	0.301	6.0	110100
collaborationist	1	1	1	1	0.02	0.301	0.01	0.301	6.0	020100
computerization	1	1	1	1	0.02	0.301	0.01	0.301	6.0	020010
counterterrorism	2	1	2	1	0.04	0.4771	0.01	0.301	6.0	102020
decentralization	1	1	1	1	0.02	0.301	0.01	0.301	6.0	020010
demobilization	1	1	1	1	0.02	0.301	0.01	0.301	6.0	020010
